,pid,tid,beers,last_modified
312,57,254,4,2018-05-17 11:19:17.616237
313,1,253,2,2018-05-17 11:19:17.616812
314,4,253,3,2018-05-17 11:19:17.616875
315,41,253,3,2018-05-17 11:19:17.616933
316,9,253,7,2018-05-17 11:19:17.616983
317,21,253,7,2018-05-17 11:19:17.617051
318,33,253,1,2018-05-17 11:19:17.617131
319,39,253,3,2018-05-17 11:19:17.617207
320,11,253,4,2018-05-17 11:19:17.617266
321,46,253,3,2018-05-17 11:19:17.617309
322,50,253,1,2018-05-17 11:19:17.617355
323,55,253,5,2018-05-17 11:19:17.617398
324,59,253,5,2018-05-17 11:19:17.617456
325,63,253,2,2018-05-17 11:19:17.617499
326,38,253,6,2018-05-17 11:19:17.617729
327,57,253,6,2018-05-17 11:19:17.617953
328,1,252,4,2018-05-17 11:19:17.618342
329,41,252,2,2018-05-17 11:19:17.618416
330,9,252,6,2018-05-17 11:19:17.618464
331,12,252,3,2018-05-17 11:19:17.618517
332,21,252,6,2018-05-17 11:19:17.618568
333,31,252,3,2018-05-17 11:19:17.618644
334,33,252,3,2018-05-17 11:19:17.618689
335,39,252,2,2018-05-17 11:19:17.618761
336,43,252,6,2018-05-17 11:19:17.618811
337,11,252,4,2018-05-17 11:19:17.618852
338,46,252,2,2018-05-17 11:19:17.618894
339,50,252,3,2018-05-17 11:19:17.618938
340,59,252,5,2018-05-17 11:19:17.619007
341,63,252,6,2018-05-17 11:19:17.619061
342,1,251,5,2018-05-17 11:19:17.620174
343,41,251,2,2018-05-17 11:19:17.620316
344,9,251,6,2018-05-17 11:19:17.620415
345,12,251,3,2018-05-17 11:19:17.620524
346,21,251,6,2018-05-17 11:19:17.620636
347,22,251,3,2018-05-17 11:19:17.620747
348,31,251,4,2018-05-17 11:19:17.620873
349,39,251,3,2018-05-17 11:19:17.621048
350,43,251,6,2018-05-17 11:19:17.621171
351,46,251,3,2018-05-17 11:19:17.621279
352,50,251,4,2018-05-17 11:19:17.621343
353,55,251,4,2018-05-17 11:19:17.621428
354,59,251,4,2018-05-17 11:19:17.621548
355,63,251,4,2018-05-17 11:19:17.621634
356,16,251,4,2018-05-17 11:19:17.621854
357,38,251,3,2018-05-17 11:19:17.622186
358,57,251,5,2018-05-17 11:19:17.622533
359,9,249,5,2018-05-17 11:19:17.624774
360,21,249,5,2018-05-17 11:19:17.624881
361,32,249,1,2018-05-17 11:19:17.624992
362,22,249,6,2018-05-17 11:19:17.625056
363,31,249,2,2018-05-17 11:19:17.625130
364,33,249,7,2018-05-17 11:19:17.625184
365,34,249,2,2018-05-17 11:19:17.625256
366,59,249,3,2018-05-17 11:19:17.625395
367,63,249,4,2018-05-17 11:19:17.625441
368,16,249,3,2018-05-17 11:19:17.625576
369,38,249,4,2018-05-17 11:19:17.625759
370,1,248,2,2018-05-17 11:19:17.626458
371,4,248,2,2018-05-17 11:19:17.626536
372,41,248,7,2018-05-17 11:19:17.626634
373,9,248,6,2018-05-17 11:19:17.626726
374,21,248,6,2018-05-17 11:19:17.626864
375,32,248,4,2018-05-17 11:19:17.626959
376,23,248,1,2018-05-17 11:19:17.627057
377,33,248,2,2018-05-17 11:19:17.627185
378,39,248,1,2018-05-17 11:19:17.627338
379,43,248,9,2018-05-17 11:19:17.627441
380,11,248,1,2018-05-17 11:19:17.627522
381,46,248,3,2018-05-17 11:19:17.627599
382,55,248,4,2018-05-17 11:19:17.627701
383,56,248,2,2018-05-17 11:19:17.627806
384,59,248,1,2018-05-17 11:19:17.627910
385,63,248,3,2018-05-17 11:19:17.627995
386,1,247,6,2018-05-17 11:19:17.629456
387,4,247,4,2018-05-17 11:19:17.629606
388,32,247,3,2018-05-17 11:19:17.629809
389,22,247,2,2018-05-17 11:19:17.629906
390,33,247,2,2018-05-17 11:19:17.630048
391,39,247,3,2018-05-17 11:19:17.630199
392,42,247,5,2018-05-17 11:19:17.630288
393,43,247,2,2018-05-17 11:19:17.630380
394,55,247,2,2018-05-17 11:19:17.630522
395,59,247,2,2018-05-17 11:19:17.630642
396,54,247,5,2018-05-17 11:19:17.631671
397,1,246,2,2018-05-17 11:19:17.632326
398,41,246,2,2018-05-17 11:19:17.632467
399,21,246,3,2018-05-17 11:19:17.632625
400,32,246,2,2018-05-17 11:19:17.632720
401,39,246,2,2018-05-17 11:19:17.632931
402,43,246,4,2018-05-17 11:19:17.633039
403,11,246,2,2018-05-17 11:19:17.633125
404,59,246,3,2018-05-17 11:19:17.633288
405,1,245,3,2018-05-17 11:19:17.634872
406,8,245,3,2018-05-17 11:19:17.635053
407,9,245,4,2018-05-17 11:19:17.635174
408,21,245,5,2018-05-17 11:19:17.635304
409,32,245,4,2018-05-17 11:19:17.635393
410,22,245,1,2018-05-17 11:19:17.635483
411,23,245,2,2018-05-17 11:19:17.635566
412,37,245,1,2018-05-17 11:19:17.635743
413,43,245,3,2018-05-17 11:19:17.635860
414,11,245,3,2018-05-17 11:19:17.635954
415,46,245,2,2018-05-17 11:19:17.636036
416,55,245,1,2018-05-17 11:19:17.636136
417,56,245,3,2018-05-17 11:19:17.636219
418,59,245,3,2018-05-17 11:19:17.636316
419,63,245,4,2018-05-17 11:19:17.636400
420,20,245,3,2018-05-17 11:19:17.636654
421,57,245,5,2018-05-17 11:19:17.637266
422,54,245,4,2018-05-17 11:19:17.637547
423,41,244,5,2018-05-17 11:19:17.638286
424,9,244,1,2018-05-17 11:19:17.638422
425,12,244,3,2018-05-17 11:19:17.638527
426,14,244,2,2018-05-17 11:19:17.638618
427,21,244,7,2018-05-17 11:19:17.638719
428,32,244,2,2018-05-17 11:19:17.638808
429,22,244,5,2018-05-17 11:19:17.638897
430,23,244,5,2018-05-17 11:19:17.638991
431,34,244,3,2018-05-17 11:19:17.639137
432,39,244,3,2018-05-17 11:19:17.639277
433,11,244,2,2018-05-17 11:19:17.639392
434,46,244,5,2018-05-17 11:19:17.639481
435,55,244,2,2018-05-17 11:19:17.639583
436,59,244,7,2018-05-17 11:19:17.639700
437,63,244,4,2018-05-17 11:19:17.639784
438,13,244,1,2018-05-17 11:19:17.639965
439,57,244,6,2018-05-17 11:19:17.640761
440,5,244,1,2018-05-17 11:19:17.641000
441,18,244,2,2018-05-17 11:19:17.641119
442,1,243,5,2018-05-17 11:19:17.642177
443,9,243,6,2018-05-17 11:19:17.642349
444,12,243,2,2018-05-17 11:19:17.642424
445,21,243,5,2018-05-17 11:19:17.642490
446,22,243,3,2018-05-17 11:19:17.642552
447,34,243,2,2018-05-17 11:19:17.642630
448,39,243,5,2018-05-17 11:19:17.642704
449,11,243,6,2018-05-17 11:19:17.642765
450,46,243,4,2018-05-17 11:19:17.642827
451,50,243,1,2018-05-17 11:19:17.642874
452,55,243,3,2018-05-17 11:19:17.642919
453,58,243,2,2018-05-17 11:19:17.642971
454,59,243,4,2018-05-17 11:19:17.643015
455,63,243,6,2018-05-17 11:19:17.643064
456,13,243,3,2018-05-17 11:19:17.643161
457,57,243,5,2018-05-17 11:19:17.643498
458,18,243,2,2018-05-17 11:19:17.643609
459,8,242,2,2018-05-17 11:19:17.643996
460,41,242,4,2018-05-17 11:19:17.644057
461,9,242,5,2018-05-17 11:19:17.644105
462,12,242,1,2018-05-17 11:19:17.644162
463,21,242,4,2018-05-17 11:19:17.644216
464,22,242,5,2018-05-17 11:19:17.644268
465,23,242,3,2018-05-17 11:19:17.644312
466,34,242,3,2018-05-17 11:19:17.644379
467,39,242,2,2018-05-17 11:19:17.644460
468,43,242,4,2018-05-17 11:19:17.644515
469,11,242,4,2018-05-17 11:19:17.644562
470,46,242,2,2018-05-17 11:19:17.644609
471,50,242,1,2018-05-17 11:19:17.644653
472,55,242,3,2018-05-17 11:19:17.644696
473,59,242,4,2018-05-17 11:19:17.644758
474,63,242,5,2018-05-17 11:19:17.644802
475,13,242,10,2018-05-17 11:19:17.644897
476,57,242,6,2018-05-17 11:19:17.645231
477,1,241,4,2018-05-17 11:19:17.645669
478,41,241,4,2018-05-17 11:19:17.645749
479,12,241,2,2018-05-17 11:19:17.645816
480,21,241,5,2018-05-17 11:19:17.645871
481,22,241,6,2018-05-17 11:19:17.645924
482,23,241,1,2018-05-17 11:19:17.645968
483,33,241,2,2018-05-17 11:19:17.646032
484,34,241,3,2018-05-17 11:19:17.646079
485,39,241,4,2018-05-17 11:19:17.646149
486,43,241,6,2018-05-17 11:19:17.646201
487,11,241,10,2018-05-17 11:19:17.646249
488,46,241,3,2018-05-17 11:19:17.646293
489,55,241,3,2018-05-17 11:19:17.646345
490,56,241,6,2018-05-17 11:19:17.646395
491,59,241,6,2018-05-17 11:19:17.646448
492,63,241,5,2018-05-17 11:19:17.646491
493,57,241,5,2018-05-17 11:19:17.646887
494,1,240,4,2018-05-17 11:19:17.647259
495,41,240,2,2018-05-17 11:19:17.647334
496,12,240,2,2018-05-17 11:19:17.647402
497,21,240,7,2018-05-17 11:19:17.647475
498,22,240,6,2018-05-17 11:19:17.647530
499,31,240,1,2018-05-17 11:19:17.647604
500,33,240,2,2018-05-17 11:19:17.647678
501,39,240,6,2018-05-17 11:19:17.647829
502,46,240,2,2018-05-17 11:19:17.647962
503,55,240,3,2018-05-17 11:19:17.648071
504,59,240,1,2018-05-17 11:19:17.648140
505,20,240,5,2018-05-17 11:19:17.648276
506,47,240,2,2018-05-17 11:19:17.648489
507,57,240,4,2018-05-17 11:19:17.648621
508,41,239,4,2018-05-17 11:19:17.649042
509,11,239,1,2018-05-17 11:19:17.649234
510,46,239,1,2018-05-17 11:19:17.649283
511,50,239,1,2018-05-17 11:19:17.649328
512,55,239,3,2018-05-17 11:19:17.649377
513,13,239,2,2018-05-17 11:19:17.649504
514,16,239,4,2018-05-17 11:19:17.649556
515,20,239,4,2018-05-17 11:19:17.649610
516,38,239,3,2018-05-17 11:19:17.649758
517,1,238,3,2018-05-17 11:19:17.650280
518,4,238,2,2018-05-17 11:19:17.650339
519,9,238,2,2018-05-17 11:19:17.650406
520,12,238,1,2018-05-17 11:19:17.650520
521,21,238,4,2018-05-17 11:19:17.650584
522,33,238,2,2018-05-17 11:19:17.650669
523,37,238,1,2018-05-17 11:19:17.650736
524,43,238,2,2018-05-17 11:19:17.650795
525,46,238,1,2018-05-17 11:19:17.650847
526,55,238,2,2018-05-17 11:19:17.650899
527,58,238,2,2018-05-17 11:19:17.650951
528,63,238,2,2018-05-17 11:19:17.651007
529,20,238,4,2018-05-17 11:19:17.651144
530,41,237,5,2018-05-17 11:19:17.651800
531,22,237,5,2018-05-17 11:19:17.651904
532,35,237,5,2018-05-17 11:19:17.651998
533,11,237,5,2018-05-17 11:19:17.652074
534,46,237,5,2018-05-17 11:19:17.652119
535,55,237,1,2018-05-17 11:19:17.652174
536,59,237,5,2018-05-17 11:19:17.652235
537,16,237,5,2018-05-17 11:19:17.652356
538,28,237,5,2018-05-17 11:19:17.652512
539,38,237,5,2018-05-17 11:19:17.652628
540,4,236,2,2018-05-17 11:19:17.653155
541,41,236,5,2018-05-17 11:19:17.653221
542,9,236,5,2018-05-17 11:19:17.653271
543,12,236,2,2018-05-17 11:19:17.653325
544,21,236,5,2018-05-17 11:19:17.653376
545,22,236,2,2018-05-17 11:19:17.653430
546,33,236,1,2018-05-17 11:19:17.653496
547,34,236,4,2018-05-17 11:19:17.653538
548,42,236,5,2018-05-17 11:19:17.653610
549,11,236,4,2018-05-17 11:19:17.653662
550,46,236,3,2018-05-17 11:19:17.653707
551,50,236,3,2018-05-17 11:19:17.653750
552,55,236,3,2018-05-17 11:19:17.653791
553,58,236,3,2018-05-17 11:19:17.653841
554,59,236,4,2018-05-17 11:19:17.653882
555,63,236,5,2018-05-17 11:19:17.653926
556,15,236,1,2018-05-17 11:19:17.654030
557,20,236,5,2018-05-17 11:19:17.654088
558,47,236,1,2018-05-17 11:19:17.654314
559,1,235,2,2018-05-17 11:19:17.654789
560,41,235,5,2018-05-17 11:19:17.654864
561,9,235,5,2018-05-17 11:19:17.654912
562,12,235,4,2018-05-17 11:19:17.654970
563,21,235,5,2018-05-17 11:19:17.655027
564,22,235,3,2018-05-17 11:19:17.655079
565,33,235,3,2018-05-17 11:19:17.655208
566,34,235,5,2018-05-17 11:19:17.655254
567,39,235,1,2018-05-17 11:19:17.655321
568,42,235,7,2018-05-17 11:19:17.655364
569,11,235,1,2018-05-17 11:19:17.655415
570,46,235,1,2018-05-17 11:19:17.655460
571,55,235,5,2018-05-17 11:19:17.655511
572,56,235,1,2018-05-17 11:19:17.655569
573,58,235,3,2018-05-17 11:19:17.655617
574,59,235,3,2018-05-17 11:19:17.655662
575,63,235,5,2018-05-17 11:19:17.655704
576,1,234,11,2018-05-17 11:19:17.656400
577,41,234,5,2018-05-17 11:19:17.656478
578,9,234,5,2018-05-17 11:19:17.656526
579,12,234,2,2018-05-17 11:19:17.656581
580,21,234,1,2018-05-17 11:19:17.656632
581,22,234,2,2018-05-17 11:19:17.656682
